"Variable","N","Mean","SD","Min","Median","Max"
"FDI: Science & Tech (% of GDP)",1286,0,0,0,0,0
"FDI: Finance (% of GDP)",1184,0,1e-04,0,0,0.0013
"FDI: Mining (% of GDP)",1060,0,0,0,0,0
"UN Ideal Point Distance",1450,2.2614,0.8123,0.0539,2.4736,4.299
"UN Vote Agreement Share",1450,0.4691,0.1685,0.1042,0.4554,0.9337
"Log GDP (Constant USD)",1482,26.3415,1.5942,22.3187,26.459,30.5481
"Log GDP Per Capita",1482,9.7038,1.108,6.6101,9.864,11.7951
"Log Trade Openness",1390,4.3278,0.5932,2.8973,4.2166,6.0927
