"country","year","fdi_finance","fdi_mining","fdi_tech","cow_code","iso3c","USA","IdealPointDistance","agree","IdealPointFP.y","ln_fdi_finance","ln_fdi_mining","ln_fdi_tech","has_finance","has_mining","has_tech","gdp_constant","gdp_per_capita","trade_openness","distance_to_us","ln_gdp","ln_gdp_pc","ln_trade","ln_distance","country_fe","year_fe"
"Argentina",1999,1659,530,490,160,"ARG",2,2.2291961,0.474226804123711,0.3603379,7.41457288135059,6.27476202124194,6.19644412779452,1,1,1,398792535409.293,10838.3199346387,21.3827449624898,NA,26.7117071572293,9.29084327540236,3.06258428662089,NA,"Argentina","1999"
"Argentina",2000,1252,580,118,160,"ARG",2,2.2539384,0.469879518072289,0.3033146,7.13329595489607,6.36475075685191,4.77912349311153,1,1,1,395646066535.875,10631.6503639029,22.6224447777343,NA,26.7037858771751,9.27159071459115,3.11894254520732,NA,"Argentina","2000"
"Argentina",2001,942,529,101,160,"ARG",2,2.2366844,0.426966292134831,0.3179856,6.84906628263346,6.27287700654617,4.62497281328427,1,1,1,378202665751.853,10051.9448463043,21.8522554515453,NA,26.6586960416701,9.21552141181042,3.08430414054135,NA,"Argentina","2001"
"Argentina",2002,772,407,48,160,"ARG",2,2.3600629,0.379699248120301,0.2779711,6.65027904858742,6.01126717440416,3.89182029811063,1,1,1,336999433710.193,8861.56199282278,41.7527243585642,NA,26.5433470869122,9.08947832521894,3.73176470326525,NA,"Argentina","2002"
"Argentina",2003,900,312,13,160,"ARG",2,2.4947441,0.324742268041237,0.2715469,6.80350525760834,5.74620319054015,2.63905732961526,1,1,1,366780211148.674,9545.53194119994,40.6447480311085,NA,26.628028625897,9.16382846443413,3.70486962792009,NA,"Argentina","2003"
"Argentina",2004,957,442,43,160,"ARG",2,2.525426,0.298913043478261,0.169884,6.86484777797086,6.09356977004514,3.78418963391826,1,1,1,399898899166.738,10302.4465316428,40.692646108947,NA,26.714477600024,9.24013667335653,3.70604739083914,NA,"Argentina","2004"
"Argentina",2005,1090,342,15,160,"ARG",2,2.5743634,0.331683168316832,0.1603046,6.99484998583307,5.83773044716594,2.77258872223978,1,1,1,435296589745.339,11099.7509190602,40.5512709706238,NA,26.799293451211,9.31467794732434,3.70256712336552,NA,"Argentina","2005"
"Argentina",2006,990,2611,51,160,"ARG",2,2.693166777,0.295454545454545,0.002738223,6.89871453432999,7.86787149039632,3.95124371858143,1,1,1,470325565798.353,11870.2791559298,40.4334798719151,NA,26.8766909850373,9.38179300509717,3.69965815147768,NA,"Argentina","2006"
"Argentina",2007,1044,2949,58,160,"ARG",2,2.66320589,0.203125,0.02101511,6.95177216439891,7.98956044933387,4.07753744390572,1,1,1,512690850741.56,12811.9021206578,40.945170618571,NA,26.9629388703292,9.45812987103844,3.71223386973193,NA,"Argentina","2007"
"Argentina",2008,1195,2559,73,160,"ARG",2,2.5955934928,0.292929292929293,-0.0008464928,7.08673793451058,7.84776253747361,4.30406509320417,1,1,1,533491913656.279,13197.3570267029,40.4026733790382,NA,27.0027097504155,9.48777186327693,3.69889595552625,NA,"Argentina","2008"
